"ID","NAME","LNG","LAT"
"59985","珊瑚","111.620","16.530"
"59842","临高","109.680","19.900"
"M0305","东郊镇+中南水库","110.906","19.616"
"M0308","会文镇+赤纸水库","110.660","19.520"
"M1118","石壁镇+下朗水文站","110.279","19.156"
"M1804","南坤镇+黄岭农场","109.958","19.374"
"M1035","三门坡镇+谭文橡胶小气候站","110.510","19.695"
"59848","白沙","109.430","19.230"
"M1010","红旗镇+镇政府","110.508","19.820"
"M1078","天涯区＋太平洋石油","109.268","18.306"
"M0003","人民街道+海口排水所","110.499","20.055"
"M1083","海棠区＋蜈支洲海岛站","109.765","18.312"
"M1095","海棠区+风塘村小学","109.730","18.357"
"M1942","北礁3","111.468","17.066"
"M0129","博鳌镇+古调村","110.500","19.176"
"M0112","潭门镇+北埇村","110.581","19.236"
"M0316","锦山镇+湖山水库","110.688","19.948"
"M0505","南圣镇+牙南村","109.611","18.743"
"M0507","南圣镇+军民村","109.648","18.794"
"M0508","南圣镇+新民村","109.653","18.822"
"M0553","什运乡+什运小学","109.601","18.994"
"M1061","海棠区＋林旺","109.701","18.313"
"M1322","文城镇+清澜南海村","110.806","19.509"
"M1012","灵山镇+大学城海师大","110.509","19.981"
"M1854","龙湖镇+中心学校","110.399","19.578"
"M1162","王五镇+春江水管所","109.253","19.616"
"M1172","雅星镇+八一农场","109.303","19.458"
"M0455","保城镇+什聘村","109.691","18.656"
"M1213","天安乡+温村小学","108.833","18.954"
"M1801","新兴镇+新兴中学","110.180","19.504"
"M0656","昌化镇+旧县村","108.723","19.266"
"M0663","七叉镇+乙洞村","109.044","19.096"
"M1259","仁兴镇+昆仑农场","109.815","19.484"
"M1606","志仲镇+中心小学","109.266","18.626"
"M0452","六弓乡+墓山水库","109.811","18.531"
"M1661","王下乡+乡政府","109.143","19.009"
"M1258","加乐镇+长岭村","109.982","19.614"
"M1655","海尾镇+五大水库","108.884","19.411"
"59758","海口","110.250","20.000"
"M1605","志仲镇+保国农场","109.291","18.558"
"M1453","新政镇+新政村","109.623","18.552"
"M1106","大路镇+文岭水库","110.498","19.408"
"M1754","波莲镇+镇政府","109.644","19.870"
"M1761","新盈镇+镇政府","109.532","19.898"
"M1318","蓬莱镇+蓬莱中学","110.536","19.532"
"M1087","吉阳区+玫瑰谷小气候站","109.603","18.238"
"M1152","雅星镇+雅星中学","109.264","19.443"
"M1619","大安镇+加巴小学","109.243","18.680"
"M1662","昌化镇+昌化岭","108.711","19.338"
"M1925","诸碧礁3","114.061","10.913"
"M1024","城西镇+保税区全兴","110.299","19.987"
"M1165","排浦镇+龙山农场","109.174","19.603"
